DATE,BAMLCC0A0CMTRIV
11/26/2020,3531.56
11/27/2020,3543.66
11/30/2020,3550.19
12/1/2020,3534.57
12/2/2020,3534.48
12/3/2020,3546.64
12/4/2020,3533.89
12/7/2020,3544.17
12/8/2020,3545.41
12/9/2020,3532.26
12/10/2020,3543.61
12/11/2020,3544.88
12/14/2020,3545.98
12/15/2020,3540.28
12/16/2020,3545.03
12/17/2020,3546.49
12/18/2020,3542.83
12/21/2020,3544.04
12/22/2020,3551.44
12/23/2020,3542.86
12/24/2020,3550.43
12/25/2020,.
12/28/2020,3554.4
12/29/2020,3556.09
12/30/2020,3561.7
12/31/2020,3567.63
1/1/2021,.
1/4/2021,3563.87
1/5/2021,3547.06
1/6/2021,3521.13
1/7/2021,3519.78
1/8/2021,3517.28
1/11/2021,3513.68
1/12/2021,3512.28
1/13/2021,3530.8
1/14/2021,3522.82
1/15/2021,3529.78
1/18/2021,3530.76
1/19/2021,3535.82
1/20/2021,3536.61
1/21/2021,3527.61
1/22/2021,3528.32
1/25/2021,3539.03
1/26/2021,3538.36
1/27/2021,3540.66
1/28/2021,3531.71
1/29/2021,3523.78
1/31/2021,3524.11
2/1/2021,3527.06
2/2/2021,3522.01
2/3/2021,3516.63
2/4/2021,3516.46
2/5/2021,3512.43
2/8/2021,3520.82
2/9/2021,3520.85
2/10/2021,3527.05
2/11/2021,3522.72
2/12/2021,3510.43
2/15/2021,3511.4
2/16/2021,3494.24
2/17/2021,3498.5
2/18/2021,3500.96
2/19/2021,3486.85
2/22/2021,3473.73
2/23/2021,3465.79
2/24/2021,3459.15
2/25/2021,3435.47
2/26/2021,3453.9
2/28/2021,3455.19
3/1/2021,3455.03
3/2/2021,3460.51
3/3/2021,3449.19
3/4/2021,3429.95
3/5/2021,3423.15
3/8/2021,3410.17
3/9/2021,3414.97
3/10/2021,3422.58
3/11/2021,3423.37
3/12/2021,3397.66
3/15/2021,3403.89
3/16/2021,3401.3
3/17/2021,3395.33
3/18/2021,3385.76
3/19/2021,3390.09
3/22/2021,3404.82
3/23/2021,3412.06
3/24/2021,3417.92
3/25/2021,3414.96
3/26/2021,3409.93
3/29/2021,3399.47
3/30/2021,3406.11
3/31/2021,3407.27
4/1/2021,3430.06
4/2/2021,.
4/5/2021,3425.19
4/6/2021,3437.31
4/7/2021,3436.81
4/8/2021,3441.6
4/9/2021,3437.47
4/12/2021,3435.96
4/13/2021,3446.46
4/14/2021,3444.56
4/15/2021,3469.89
4/16/2021,3455.96
4/19/2021,3446.14
4/20/2021,3452.5
4/21/2021,3452.32
4/22/2021,3458.28
4/23/2021,3457.17
4/26/2021,3459.49
4/27/2021,3448.23
4/28/2021,3448.21
4/29/2021,3445.89
4/30/2021,3447.81
5/3/2021,3455.15
5/4/2021,3458.68
5/5/2021,3461.84
5/6/2021,3467.39
5/7/2021,3463.83
5/10/2021,3457.39
5/11/2021,3447.53
5/12/2021,3430.68
5/13/2021,3437.65
5/14/2021,3447.64
5/17/2021,3449.78
5/18/2021,3448.48
5/19/2021,3438.09
5/20/2021,3451.42
5/21/2021,3454.41
5/24/2021,3463.1
5/25/2021,3474.87
5/26/2021,3474.1
5/27/2021,3466.91
5/28/2021,3471.38
5/31/2021,3472.02
6/1/2021,3466.91
6/2/2021,3473.11
6/3/2021,3465.96
6/4/2021,3481.51
6/7/2021,3479.5
6/8/2021,3489.87
6/9/2021,3499.99
6/10/2021,3506.51
6/11/2021,3508.39
6/14/2021,3500.35
6/15/2021,3500.25
6/16/2021,3492.35
6/17/2021,3514.11
6/18/2021,3527.42
6/21/2021,3513.74
6/22/2021,3514.69
6/23/2021,3512.13
6/24/2021,3515.03
6/25/2021,3501.95
6/28/2021,3520.21
6/29/2021,3521.78
6/30/2021,3529.82
7/1/2021,3522.2
7/2/2021,3533.04
7/5/2021,3534
7/6/2021,3546
7/7/2021,3557.13
7/8/2021,3561.3
7/9/2021,3543.92
7/12/2021,3543.03
7/13/2021,3530.99
7/14/2021,3545.36
7/15/2021,3559.13
7/16/2021,3555.48
7/19/2021,3577.73
7/20/2021,3567.65
7/21/2021,3555.76
7/22/2021,3563.67
7/23/2021,3560.39
7/26/2021,3562.34
7/27/2021,3570.76
7/28/2021,3565.55
7/29/2021,3566.88
7/30/2021,3572.44
7/31/2021,3572.51
8/2/2021,3584.73
8/3/2021,3583.86
8/4/2021,3583.66
8/5/2021,3575.83
8/6/2021,3556.41
8/9/2021,3547.63
8/10/2021,3540.39
8/11/2021,3537.58
8/12/2021,3536
8/13/2021,3555.76
8/16/2021,3565.4
8/17/2021,3563.06
8/18/2021,3561.44
8/19/2021,3565.02
8/20/2021,3564.11
8/23/2021,3566.57
8/24/2021,3560.38
8/25/2021,3549.58
8/26/2021,3553.85
8/27/2021,3562.47
8/30/2021,3570.57
8/31/2021,3565.44
9/1/2021,3567.26
9/2/2021,3570.72
9/3/2021,3563.85
9/6/2021,3564.81
9/7/2021,3552.85
9/8/2021,3560.3
9/9/2021,3573.78
9/10/2021,3566.83
9/13/2021,3574.99
9/14/2021,3587.15
9/15/2021,3581.47
9/16/2021,3576.18
9/17/2021,3568.97
9/20/2021,3581.57
9/21/2021,3579.28
9/22/2021,3580.16
9/23/2021,3563.74
9/24/2021,3552.93
9/27/2021,3552.47
9/28/2021,3533.84
9/29/2021,3530.96
9/30/2021,3527.75
10/1/2021,3541.65
10/4/2021,3538.86
10/5/2021,3527.68
10/6/2021,3527.76
10/7/2021,3515.49
10/8/2021,3505.87
10/11/2021,3506.82
10/12/2021,3512.21
10/13/2021,3524.14
10/14/2021,3532.23
10/15/2021,3524.22
10/18/2021,3527.45
10/19/2021,3514.57
10/20/2021,3511.52
10/21/2021,3502.17
10/22/2021,3508.34
10/25/2021,3513.38
10/26/2021,3521.11
10/27/2021,3546.72
10/28/2021,3536.16
10/29/2021,3536.24
10/31/2021,3536.56
11/1/2021,3530.36
11/2/2021,3536.64
11/3/2021,3530.6
11/4/2021,3544.27
11/5/2021,3565.89
11/8/2021,3560.76
11/9/2021,3575.5
11/10/2021,3543.95
11/11/2021,3544.27
11/12/2021,3532.1
11/15/2021,3518.38
11/16/2021,3511.42
11/17/2021,3515.36
11/18/2021,3522.02
11/19/2021,3535.3
11/22/2021,3513.26
11/23/2021,3498.62
11/24/2021,3503.86
11/25/2021,3504.17
11/26/2021,3528.84
11/29/2021,3520.36
11/30/2021,3539.8
12/1/2021,3538.77
12/2/2021,3532.7
12/3/2021,3560.9
12/6/2021,3543.06
12/7/2021,3540.32
12/8/2021,3526.93
12/9/2021,3529.8
12/10/2021,3527.36
12/13/2021,3544.67
12/14/2021,3537.19
12/15/2021,3526.76
12/16/2021,3535.05
12/17/2021,3540.09
12/20/2021,3531.34
12/21/2021,3519.23
12/22/2021,3530.55
12/23/2021,3521.02
12/24/2021,.
12/27/2021,3527.77
12/28/2021,3529.05
12/29/2021,3517.59
12/30/2021,3525.79
12/31/2021,3533.73
1/3/2022,3500.61
1/4/2022,3491.41
1/5/2022,3487.35
1/6/2022,3480.58
1/7/2022,3472.18
1/10/2022,3467.68
1/11/2022,3474.82
1/12/2022,3476.44
1/13/2022,3478.29
1/14/2022,3459.13
1/17/2022,3460.08
1/18/2022,3433.86
1/19/2022,3445.1
1/20/2022,3441.48
1/21/2022,3452.32
1/24/2022,3446.19
1/25/2022,3434.86
1/26/2022,3425.23
1/27/2022,3427.51
1/28/2022,3423.88
1/31/2022,3423.31
2/1/2022,3422.75
2/2/2022,3433.3
2/3/2022,3415.1
2/4/2022,3385.37
2/7/2022,3386.03
2/8/2022,3380.07
2/9/2022,3386.06
2/10/2022,3358.12
2/11/2022,3366.95
2/14/2022,3350.65
2/15/2022,3338.17
2/16/2022,3332.09
2/17/2022,3336.69
2/18/2022,3341.73
2/21/2022,3342.68
2/22/2022,3333.31
2/23/2022,3325.21
2/24/2022,3308.73
2/25/2022,3316.58
2/28/2022,3348.65
3/1/2022,3370.86
3/2/2022,3332.34
3/3/2022,3334.97
3/4/2022,3347.71
3/7/2022,3328.95
3/8/2022,3290.59
3/9/2022,3279.28
3/10/2022,3258.12
3/11/2022,3256.84
3/14/2022,3224.55
3/15/2022,3220.15
3/16/2022,3233.01
3/17/2022,3252.2
3/18/2022,3269.52
3/21/2022,3240.65
3/22/2022,3232.42
3/23/2022,3246.72
3/24/2022,3241.18
3/25/2022,3214.63
3/28/2022,3221.13
3/29/2022,3242.94
3/30/2022,3256.36
3/31/2022,3260.28
4/1/2022,3257.68
4/4/2022,3255.59
4/5/2022,3230.28
4/6/2022,3213.79
4/7/2022,3204.33
4/8/2022,3184.77
4/11/2022,3163.43
4/12/2022,3169.09
4/13/2022,3170.73
4/14/2022,3146.81
4/15/2022,.
4/18/2022,3136.56
4/19/2022,3120.64
4/20/2022,3137.93
4/21/2022,3117.49
4/22/2022,3107.88
4/25/2022,3120.15
4/26/2022,3129.34
4/27/2022,3119.47
4/28/2022,3107
4/29/2022,3097.87
4/30/2022,3098.19
5/2/2022,3071.62
5/3/2022,3083.53
5/4/2022,3092.31
5/5/2022,3063.48
5/6/2022,3051.4
5/9/2022,3051.92
5/10/2022,3067.18
5/11/2022,3081.45
5/12/2022,3093.31
5/13/2022,3067.58
5/16/2022,3073.33
5/17/2022,3053.5
5/18/2022,3063.91
5/19/2022,3065.87
5/20/2022,3079.23
5/23/2022,3068.41
5/24/2022,3091.82
5/25/2022,3107.48
5/26/2022,3119.3
5/27/2022,3125.48
5/30/2022,3126.36
5/31/2022,3114.77
6/1/2022,3105.65
6/2/2022,3107.55
6/3/2022,3098.4
6/6/2022,3084.08
6/7/2022,3096.64
6/8/2022,3086.83
6/9/2022,3081.77
6/10/2022,3050.57
6/13/2022,2996.17
6/14/2022,2976.4
6/15/2022,2994.81
6/16/2022,3000.98
6/17/2022,3013.2
6/20/2022,3014.18
6/21/2022,3001.55
6/22/2022,3022.82
6/23/2022,3034.25
6/24/2022,3026.65
6/27/2022,3017.19
6/28/2022,3010.28
6/29/2022,3027.59
6/30/2022,3041.57
7/1/2022,3048.14
7/4/2022,3049.12
7/5/2022,3062.64
7/6/2022,3044.85
7/7/2022,3038.6
7/8/2022,3027.76
7/11/2022,3048.78
7/12/2022,3053.97
7/13/2022,3060.02
7/14/2022,3050.1
7/15/2022,3059.5
7/18/2022,3059.56
7/19/2022,3050.7
7/20/2022,3052.82
7/21/2022,3081.35
7/22/2022,3104.66
7/25/2022,3092.52
7/26/2022,3094.09
7/27/2022,3105.99
7/28/2022,3114.75
7/29/2022,3130.93
7/31/2022,3131.26
8/1/2022,3141.58
8/2/2022,3116.66
8/3/2022,3118.51
8/4/2022,3130.05
8/5/2022,3098.35
8/8/2022,3114.37
8/9/2022,3105.58
8/10/2022,3113.01
8/11/2022,3100.25
8/12/2022,3111.71
8/15/2022,3124.07
8/16/2022,3118.19
8/17/2022,3101.92
8/18/2022,3105.04
8/19/2022,3080.89
8/22/2022,3067.43
8/23/2022,3065.63
8/24/2022,3056.75
8/25/2022,3076.47
8/26/2022,3075.99
8/29/2022,3058.39
8/30/2022,3058.04
8/31/2022,3047.93
9/1/2022,3015.76
9/2/2022,3030.54
9/5/2022,3031.54
9/6/2022,2999.46
9/7/2022,3016.62
9/8/2022,3014.26
9/9/2022,3014.68
9/12/2022,3011.54
9/13/2022,2997.05
9/14/2022,3000.32
9/15/2022,2993.01
9/16/2022,2985.83
9/19/2022,2983.21
9/20/2022,2971.63
9/21/2022,2984.01
9/22/2022,2947.35
9/23/2022,2941.03
9/26/2022,2906.04
9/27/2022,2875.31
9/28/2022,2907.26
9/29/2022,2887.86
9/30/2022,2886.14
10/3/2022,2916.62
10/4/2022,2928.54
10/5/2022,2910.7
10/6/2022,2905.61
10/7/2022,2890.25
10/10/2022,2891.26
10/11/2022,2869.15
10/12/2022,2867.65
10/13/2022,2853.66
10/14/2022,2844.36
10/17/2022,2846.42
10/18/2022,2855.25
10/19/2022,2831.08
10/20/2022,2814.76
10/21/2022,2809.29
10/24/2022,2810.88
10/25/2022,2839.86
10/26/2022,2853.67
10/27/2022,2868.58
10/28/2022,2861.1
10/31/2022,2853.97
11/1/2022,2862.59
11/2/2022,2861.65
11/3/2022,2846.5
11/4/2022,2844.03
11/7/2022,2839.62
11/8/2022,2854.54
11/9/2022,2857.38
11/10/2022,2914.42
11/11/2022,2914.76
11/14/2022,2919.84
11/15/2022,2944.82
11/16/2022,2965.33
11/17/2022,2951.53
11/18/2022,2949.34
11/21/2022,2954.19
11/22/2022,2969.68
11/23/2022,2987.61
11/24/2022,2987.95
11/25/2022,2989.84
11/28/2022,2991.21
11/29/2022,2977.8
11/30/2022,2994.31
12/1/2022,3031.23
12/2/2022,3041.86
12/5/2022,3023.74
12/6/2022,3038.42
12/7/2022,3061.46
12/8/2022,3057.04
12/9/2022,3036.77
12/12/2022,3038.11
12/13/2022,3058.91
12/14/2022,3064.24
12/15/2022,3065.23
12/16/2022,3054.64
12/19/2022,3035.02
